,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
3685,5501,Guangxi,China,2020-01-22,2.0,0.0
3686,5502,Guangxi,China,2020-01-23,5.0,0.0
3687,5503,Guangxi,China,2020-01-24,23.0,0.0
3688,5504,Guangxi,China,2020-01-25,23.0,0.0
3689,5505,Guangxi,China,2020-01-26,36.0,0.0
3690,5506,Guangxi,China,2020-01-27,46.0,0.0
3691,5507,Guangxi,China,2020-01-28,51.0,0.0
3692,5508,Guangxi,China,2020-01-29,58.0,0.0
3693,5509,Guangxi,China,2020-01-30,78.0,0.0
3694,5510,Guangxi,China,2020-01-31,87.0,0.0
3695,5511,Guangxi,China,2020-02-01,100.0,0.0
3696,5512,Guangxi,China,2020-02-02,111.0,0.0
3697,5513,Guangxi,China,2020-02-03,127.0,0.0
3698,5514,Guangxi,China,2020-02-04,139.0,0.0
3699,5515,Guangxi,China,2020-02-05,150.0,0.0
3700,5516,Guangxi,China,2020-02-06,168.0,0.0
3701,5517,Guangxi,China,2020-02-07,172.0,0.0
3702,5518,Guangxi,China,2020-02-08,183.0,0.0
3703,5519,Guangxi,China,2020-02-09,195.0,1.0
3704,5520,Guangxi,China,2020-02-10,210.0,1.0
3705,5521,Guangxi,China,2020-02-11,215.0,1.0
3706,5522,Guangxi,China,2020-02-12,222.0,1.0
3707,5523,Guangxi,China,2020-02-13,222.0,2.0
3708,5524,Guangxi,China,2020-02-14,226.0,2.0
3709,5525,Guangxi,China,2020-02-15,235.0,2.0
3710,5526,Guangxi,China,2020-02-16,237.0,2.0
3711,5527,Guangxi,China,2020-02-17,238.0,2.0
3712,5528,Guangxi,China,2020-02-18,242.0,2.0
3713,5529,Guangxi,China,2020-02-19,244.0,2.0
3714,5530,Guangxi,China,2020-02-20,245.0,2.0
3715,5531,Guangxi,China,2020-02-21,246.0,2.0
3716,5532,Guangxi,China,2020-02-22,249.0,2.0
3717,5533,Guangxi,China,2020-02-23,249.0,2.0
3718,5534,Guangxi,China,2020-02-24,251.0,2.0
3719,5535,Guangxi,China,2020-02-25,252.0,2.0
3720,5536,Guangxi,China,2020-02-26,252.0,2.0
3721,5537,Guangxi,China,2020-02-27,252.0,2.0
3722,5538,Guangxi,China,2020-02-28,252.0,2.0
3723,5539,Guangxi,China,2020-02-29,252.0,2.0
3724,5540,Guangxi,China,2020-03-01,252.0,2.0
3725,5541,Guangxi,China,2020-03-02,252.0,2.0
3726,5542,Guangxi,China,2020-03-03,252.0,2.0
3727,5543,Guangxi,China,2020-03-04,252.0,2.0
3728,5544,Guangxi,China,2020-03-05,252.0,2.0
3729,5545,Guangxi,China,2020-03-06,252.0,2.0
3730,5546,Guangxi,China,2020-03-07,252.0,2.0
3731,5547,Guangxi,China,2020-03-08,252.0,2.0
3732,5548,Guangxi,China,2020-03-09,252.0,2.0
3733,5549,Guangxi,China,2020-03-10,252.0,2.0
3734,5550,Guangxi,China,2020-03-11,252.0,2.0
3735,5551,Guangxi,China,2020-03-12,252.0,2.0
3736,5552,Guangxi,China,2020-03-13,252.0,2.0
3737,5553,Guangxi,China,2020-03-14,252.0,2.0
3738,5554,Guangxi,China,2020-03-15,252.0,2.0
3739,5555,Guangxi,China,2020-03-16,252.0,2.0
3740,5556,Guangxi,China,2020-03-17,253.0,2.0
3741,5557,Guangxi,China,2020-03-18,253.0,2.0
3742,5558,Guangxi,China,2020-03-19,253.0,2.0
3743,5559,Guangxi,China,2020-03-20,254.0,2.0
3744,5560,Guangxi,China,2020-03-21,254.0,2.0
3745,5561,Guangxi,China,2020-03-22,254.0,2.0
3746,5562,Guangxi,China,2020-03-23,254.0,2.0
3747,5563,Guangxi,China,2020-03-24,254.0,2.0
3748,5564,Guangxi,China,2020-03-25,254.0,2.0
3749,5565,Guangxi,China,2020-03-26,254.0,2.0
3750,5566,Guangxi,China,2020-03-27,254.0,2.0
3751,5567,Guangxi,China,2020-03-28,254.0,2.0
