,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
13132,19601,,Saint Kitts and Nevis,2020-01-22,0.0,0.0
13133,19602,,Saint Kitts and Nevis,2020-01-23,0.0,0.0
13134,19603,,Saint Kitts and Nevis,2020-01-24,0.0,0.0
13135,19604,,Saint Kitts and Nevis,2020-01-25,0.0,0.0
13136,19605,,Saint Kitts and Nevis,2020-01-26,0.0,0.0
13137,19606,,Saint Kitts and Nevis,2020-01-27,0.0,0.0
13138,19607,,Saint Kitts and Nevis,2020-01-28,0.0,0.0
13139,19608,,Saint Kitts and Nevis,2020-01-29,0.0,0.0
13140,19609,,Saint Kitts and Nevis,2020-01-30,0.0,0.0
13141,19610,,Saint Kitts and Nevis,2020-01-31,0.0,0.0
13142,19611,,Saint Kitts and Nevis,2020-02-01,0.0,0.0
13143,19612,,Saint Kitts and Nevis,2020-02-02,0.0,0.0
13144,19613,,Saint Kitts and Nevis,2020-02-03,0.0,0.0
13145,19614,,Saint Kitts and Nevis,2020-02-04,0.0,0.0
13146,19615,,Saint Kitts and Nevis,2020-02-05,0.0,0.0
13147,19616,,Saint Kitts and Nevis,2020-02-06,0.0,0.0
13148,19617,,Saint Kitts and Nevis,2020-02-07,0.0,0.0
13149,19618,,Saint Kitts and Nevis,2020-02-08,0.0,0.0
13150,19619,,Saint Kitts and Nevis,2020-02-09,0.0,0.0
13151,19620,,Saint Kitts and Nevis,2020-02-10,0.0,0.0
13152,19621,,Saint Kitts and Nevis,2020-02-11,0.0,0.0
13153,19622,,Saint Kitts and Nevis,2020-02-12,0.0,0.0
13154,19623,,Saint Kitts and Nevis,2020-02-13,0.0,0.0
13155,19624,,Saint Kitts and Nevis,2020-02-14,0.0,0.0
13156,19625,,Saint Kitts and Nevis,2020-02-15,0.0,0.0
13157,19626,,Saint Kitts and Nevis,2020-02-16,0.0,0.0
13158,19627,,Saint Kitts and Nevis,2020-02-17,0.0,0.0
13159,19628,,Saint Kitts and Nevis,2020-02-18,0.0,0.0
13160,19629,,Saint Kitts and Nevis,2020-02-19,0.0,0.0
13161,19630,,Saint Kitts and Nevis,2020-02-20,0.0,0.0
13162,19631,,Saint Kitts and Nevis,2020-02-21,0.0,0.0
13163,19632,,Saint Kitts and Nevis,2020-02-22,0.0,0.0
13164,19633,,Saint Kitts and Nevis,2020-02-23,0.0,0.0
13165,19634,,Saint Kitts and Nevis,2020-02-24,0.0,0.0
13166,19635,,Saint Kitts and Nevis,2020-02-25,0.0,0.0
13167,19636,,Saint Kitts and Nevis,2020-02-26,0.0,0.0
13168,19637,,Saint Kitts and Nevis,2020-02-27,0.0,0.0
13169,19638,,Saint Kitts and Nevis,2020-02-28,0.0,0.0
13170,19639,,Saint Kitts and Nevis,2020-02-29,0.0,0.0
13171,19640,,Saint Kitts and Nevis,2020-03-01,0.0,0.0
13172,19641,,Saint Kitts and Nevis,2020-03-02,0.0,0.0
13173,19642,,Saint Kitts and Nevis,2020-03-03,0.0,0.0
13174,19643,,Saint Kitts and Nevis,2020-03-04,0.0,0.0
13175,19644,,Saint Kitts and Nevis,2020-03-05,0.0,0.0
13176,19645,,Saint Kitts and Nevis,2020-03-06,0.0,0.0
13177,19646,,Saint Kitts and Nevis,2020-03-07,0.0,0.0
13178,19647,,Saint Kitts and Nevis,2020-03-08,0.0,0.0
13179,19648,,Saint Kitts and Nevis,2020-03-09,0.0,0.0
13180,19649,,Saint Kitts and Nevis,2020-03-10,0.0,0.0
13181,19650,,Saint Kitts and Nevis,2020-03-11,0.0,0.0
13182,19651,,Saint Kitts and Nevis,2020-03-12,0.0,0.0
13183,19652,,Saint Kitts and Nevis,2020-03-13,0.0,0.0
13184,19653,,Saint Kitts and Nevis,2020-03-14,0.0,0.0
13185,19654,,Saint Kitts and Nevis,2020-03-15,0.0,0.0
13186,19655,,Saint Kitts and Nevis,2020-03-16,0.0,0.0
13187,19656,,Saint Kitts and Nevis,2020-03-17,0.0,0.0
13188,19657,,Saint Kitts and Nevis,2020-03-18,0.0,0.0
13189,19658,,Saint Kitts and Nevis,2020-03-19,0.0,0.0
13190,19659,,Saint Kitts and Nevis,2020-03-20,0.0,0.0
13191,19660,,Saint Kitts and Nevis,2020-03-21,0.0,0.0
13192,19661,,Saint Kitts and Nevis,2020-03-22,0.0,0.0
13193,19662,,Saint Kitts and Nevis,2020-03-23,0.0,0.0
13194,19663,,Saint Kitts and Nevis,2020-03-24,0.0,0.0
13195,19664,,Saint Kitts and Nevis,2020-03-25,2.0,0.0
13196,19665,,Saint Kitts and Nevis,2020-03-26,2.0,0.0
13197,19666,,Saint Kitts and Nevis,2020-03-27,2.0,0.0
13198,19667,,Saint Kitts and Nevis,2020-03-28,2.0,0.0
